Time since refrence of first frame,Checksum,Window Scaling factor,Calculated Window size value,Window size value,Capture Length,Next Sequence Number,Acknowledge Number,SRC PORT,SRC DEST,SRC IP,Dest IP,Offset,S.Address1,S.Address2,S.Address3,S.Address4,S.Address5,Adress1,Adress2,Adress3,Adress4,Adress5,Checksum 1,Irtt,Data,Labeled
74.217929,0x5d1c,4,64224,16056,1078,14,26673,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, e553336694396eb561edd48c8a85e223a55a689698c61935,0
74.218098,0x5ed0,4,64240,64240,54,27697,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xd97d,0.000174,x,0
74.21811,0x5b68,1,64224,16056,1514,14,27697,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 6940cd373466801db4f634a370ef481852ee14ac34c70dde,0
74.218116,0x5d1c,4,64224,16056,642,14,29157,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 959f0963c0a994b13b6b99c6c5dc924d8e79515564821639,0
74.218175,0x5ed0,4,62192,62192,54,29745,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xd97d,0.000174,x,0
74.218217,0x5b68,4,64224,16056,1078,14,29745,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 5c04a2968a2e02514b498a2e02514b8a314ee02514b8a314,0
74.218404,0x5d1c,1,64224,16056,1514,14,30769,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, b7b085541503f1a75d585b8425c0a8facc6f61fb27639819,0
74.21841,0x5ed0,4,64224,16056,642,14,32229,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 52d2d200e946ea28a2c0275a08a5a2980dc518a5a2801314,0
74.21853,0x5b68,4,59120,59120,54,32817,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xd97d,0.000174,x,0
74.218544,0x5d1c,4,64224,16056,1078,14,32817,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, f381e7358b9499a248ad8a4a7628c5697301b452e28c5170,0
74.2187,0x5ed0,1,64224,16056,1514,14,33841,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 97145174025253a8a006e28a7507a5301b4514bf85002525,0
74.218705,0x5b68,4,64224,16056,642,14,35301,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 59bcd21d10f94e80c918eaebf9d46d7300eb20ae7d87f79c,0
74.218785,0x5d1c,4,56048,56048,54,35889,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xd97d,0.000174,x,0
74.218806,0x5ed0,4,64224,16056,1078,14,35889,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, e5c747229eb7132f495bf3ad238d4ba0b959dce47a8fce80,0
74.21899,0x5b68,1,64224,16056,1514,14,36913,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, d7453a8e264e28e6dd1a33875db4cae9eeaca1b81f3100fa,0
74.218996,0x5d1c,4,64224,16056,642,14,38373,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 49d0fe356aa45f50b325c51f9d2078d87122fe74bc766cd3,0
74.219047,0x5ed0,4,52976,52976,54,38961,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xd97d,0.000174,x,0
74.219092,0x5b68,4,64224,16056,1078,14,38961,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 6f5a72dd329eb49c2e34ec6c8a09c5658d408e0d236a06b3,0
74.219277,0x5d1c,1,64224,16056,1514,14,39985,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 5212de948723aad3e601b9f4149f367a529a338a3518d270,0
